region,item,unit,value
Ecuador,PTMEAT,g/kg,116
Ecuador,BVMILK,g/kg,33
Ecuador,PTEGGS,g/kg,99
Egypt,BVMEAT,g/kg,136
Egypt,SGMEAT,g/kg,143
Egypt,PGMEAT,g/kg,73
Egypt,PTMEAT,g/kg,128
Egypt,BVMILK,g/kg,31
Egypt,PTEGGS,g/kg,107
ElSalvador,BVMEAT,g/kg,161
ElSalvador,SGMEAT,g/kg,183
ElSalvador,PGMEAT,g/kg,96
ElSalvador,PTMEAT,g/kg,108
ElSalvador,BVMILK,g/kg,33
ElSalvador,PTEGGS,g/kg,99
EqGuinea,BVMEAT,g/kg,148
EqGuinea,SGMEAT,g/kg,145
EqGuinea,PGMEAT,g/kg,114
EqGuinea,PTMEAT,g/kg,125
EqGuinea,BVMILK,g/kg,33
EqGuinea,PTEGGS,g/kg,105
Eritrea,BVMEAT,g/kg,148
Eritrea,SGMEAT,g/kg,137
Eritrea,PGMEAT,g/kg,116
Eritrea,PTMEAT,g/kg,124
Eritrea,BVMILK,g/kg,35
Eritrea,PTEGGS,g/kg,108
Estonia,BVMEAT,g/kg,153
Estonia,SGMEAT,g/kg,135
Estonia,PGMEAT,g/kg,89
Estonia,PTMEAT,g/kg,127
Estonia,BVMILK,g/kg,34
Estonia,PTEGGS,g/kg,107
Ethiopia,BVMEAT,g/kg,147
Ethiopia,SGMEAT,g/kg,138
Ethiopia,PGMEAT,g/kg,183
Ethiopia,PTMEAT,g/kg,123
Ethiopia,BVMILK,g/kg,33
Ethiopia,PTEGGS,g/kg,104
FalklandIs,BVMEAT,g/kg,137
FalklandIs,SGMEAT,g/kg,140
FalklandIs,PGMEAT,g/kg,108
FalklandIs,PTMEAT,g/kg,128
FalklandIs,BVMILK,g/kg,33
FalklandIs,PTEGGS,g/kg,99
FijiIslands,BVMEAT,g/kg,143
FijiIslands,SGMEAT,g/kg,125
FijiIslands,PGMEAT,g/kg,111
FijiIslands,PTMEAT,g/kg,119
FijiIslands,BVMILK,g/kg,30
FijiIslands,PTEGGS,g/kg,110
Finland,BVMEAT,g/kg,152
Finland,SGMEAT,g/kg,122
Finland,PGMEAT,g/kg,95
Finland,PTMEAT,g/kg,148
Finland,BVMILK,g/kg,28
Finland,PTEGGS,g/kg,114
France,BVMEAT,g/kg,144
France,SGMEAT,g/kg,126
France,PGMEAT,g/kg,95
France,PTMEAT,g/kg,143
France,BVMILK,g/kg,34
France,PTEGGS,g/kg,114
FrGuiana,BVMEAT,g/kg,137
FrGuiana,SGMEAT,g/kg,140
FrGuiana,PGMEAT,g/kg,108
FrGuiana,PTMEAT,g/kg,128
FrGuiana,BVMILK,g/kg,33
FrGuiana,PTEGGS,g/kg,99
FrPolynesia,BVMEAT,g/kg,148
FrPolynesia,SGMEAT,g/kg,124
FrPolynesia,PGMEAT,g/kg,98
FrPolynesia,PTMEAT,g/kg,123
FrPolynesia,BVMILK,g/kg,32
FrPolynesia,PTEGGS,g/kg,115
Gabon,BVMEAT,g/kg,150
Gabon,SGMEAT,g/kg,145
Gabon,PGMEAT,g/kg,107
Gabon,PTMEAT,g/kg,129
Gabon,BVMILK,g/kg,32
Gabon,PTEGGS,g/kg,104
Gambia,BVMEAT,g/kg,149
Gambia,SGMEAT,g/kg,145
Gambia,PGMEAT,g/kg,111
Gambia,PTMEAT,g/kg,123
Gambia,BVMILK,g/kg,33
Gambia,PTEGGS,g/kg,104
Georgia,BVMEAT,g/kg,147
Georgia,SGMEAT,g/kg,135
Georgia,PGMEAT,g/kg,92
Georgia,PTMEAT,g/kg,124
Georgia,BVMILK,g/kg,34
Georgia,PTEGGS,g/kg,107
Germany,BVMEAT,g/kg,129
Germany,SGMEAT,g/kg,125
Germany,PGMEAT,g/kg,101
Germany,PTMEAT,g/kg,148
Germany,BVMILK,g/kg,30
Germany,PTEGGS,g/kg,114
Ghana,BVMEAT,g/kg,150
Ghana,SGMEAT,g/kg,143
Ghana,PGMEAT,g/kg,111
Ghana,PTMEAT,g/kg,116
Ghana,BVMILK,g/kg,34
Ghana,PTEGGS,g/kg,104
Greece,BVMEAT,g/kg,130
Greece,SGMEAT,g/kg,136
Greece,PGMEAT,g/kg,88
Greece,PTMEAT,g/kg,150
Greece,BVMILK,g/kg,34
Greece,PTEGGS,g/kg,114
Greenland,BVMEAT,g/kg,128
Greenland,SGMEAT,g/kg,126
Greenland,PGMEAT,g/kg,96
Greenland,PTMEAT,g/kg,148
Greenland,BVMILK,g/kg,30
Greenland,PTEGGS,g/kg,113
Guadeloupe,BVMEAT,g/kg,149
Guadeloupe,SGMEAT,g/kg,157
Guadeloupe,PGMEAT,g/kg,101
Guadeloupe,PTMEAT,g/kg,111
Guadeloupe,BVMILK,g/kg,34
Guadeloupe,PTEGGS,g/kg,99
Guatemala,BVMEAT,g/kg,159
Guatemala,SGMEAT,g/kg,135
Guatemala,PGMEAT,g/kg,94
